goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
40,57,8,444,125,12,10,4,0,38,2,2,73,7,59,142,591,735,22,1278,693,2,9,8,14172,148,2300,895,165,24327,5,659,1,40,24
41,59,5,441,132,10,12,2,1,35,6,3,60,8,66,128,452,800,2,1783,859,2,7,3,10431,45,2199,1087,238,19140,6,532,2,61,28
44,51,3,359,121,7,8,5,0,36,8,2,82,10,58,160,514,644,0,1229,617,1,5,3,14749,25,2726,629,150,22298,6,381,1,28,23
45,54,5,544,177,7,5,3,0,39,6,7,85,13,45,122,743,781,7,1511,886,2,4,3,15723,170,2099,1005,221,26576,6,538,0,69,56
34,78,4,390,114,12,9,3,0,33,1,1,72,12,45,159,499,728,5,1161,567,4,6,6,12287,32,1989,855,165,19830,3,397,0,91,6
46,68,2,482,143,20,11,3,2,42,4,4,74,9,48,156,532,716,13,1316,791,2,5,3,10349,58,2062,766,191,18195,5,449,2,64,20
43,59,1,572,174,18,9,5,0,38,5,1,120,5,70,184,583,783,13,1353,723,2,6,5,13367,126,2126,814,181,21823,9,574,1,39,41
41,57,2,489,161,18,11,3,0,35,6,2,124,13,55,132,730,709,12,1557,832,1,2,2,11792,91,2203,752,181,21245,6,445,0,61,32
37,63,2,450,145,15,7,3,1,34,3,2,73,8,56,128,462,658,4,953,509,1,2,1,17174,56,2541,800,227,24639,4,379,1,29,13
68,58,3,662,220,22,14,5,0,62,6,7,88,16,37,87,872,875,6,1280,738,3,5,3,18991,225,2044,1069,267,29877,9,692,2,65,26
66,51,1,555,195,19,12,4,1,59,7,9,123,9,61,125,534,960,2,2043,1053,1,1,1,15466,56,2428,994,238,24679,6,612,0,46,21
