goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,predicted categories
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
83.0,56.0,1.0,660.0,233.0,15.0,11.0,3.0,2.0,65.0,18.0,9.0,93.0,14.0,41.0,89.0,839.0,818.0,26.0,1091.0,640.0,2.0,7.0,5.0,19291.0,334.0,1837.0,1023.0,257.0,29807.0,3.0,713.0,2.0,75.0,24.0,16
37.0,67.0,5.0,397.0,126.0,10.0,5.0,3.0,2.0,33.0,4.0,3.0,71.0,5.0,80.0,184.0,573.0,631.0,3.0,1101.0,600.0,5.0,13.0,11.0,15596.0,41.0,2650.0,739.0,179.0,22779.0,6.0,399.0,2.0,40.0,18.0,2
77.0,68.0,3.0,566.0,201.0,17.0,17.0,4.0,2.0,70.0,7.0,2.0,95.0,13.0,44.0,95.0,536.0,673.0,5.0,838.0,484.0,1.0,10.0,10.0,21394.0,129.0,1979.0,697.0,227.0,28931.0,1.0,465.0,0.0,36.0,10.0,16
59.0,58.0,5.0,526.0,173.0,4.0,6.0,4.0,4.0,48.0,11.0,1.0,90.0,9.0,53.0,136.0,518.0,790.0,2.0,790.0,398.0,2.0,4.0,3.0,19664.0,74.0,2312.0,732.0,240.0,27362.0,4.0,413.0,1.0,54.0,27.0,14
78.0,54.0,0.0,640.0,236.0,18.0,12.0,7.0,3.0,65.0,13.0,3.0,77.0,12.0,42.0,65.0,410.0,719.0,2.0,877.0,451.0,0.0,5.0,3.0,22290.0,57.0,2565.0,812.0,249.0,30071.0,0.0,472.0,2.0,36.0,26.0,15
43.0,45.0,1.0,394.0,128.0,9.0,12.0,4.0,1.0,39.0,4.0,2.0,80.0,5.0,73.0,166.0,560.0,602.0,10.0,1300.0,620.0,0.0,4.0,4.0,11806.0,38.0,1855.0,1009.0,189.0,19613.0,12.0,442.0,0.0,47.0,37.0,3
55.0,66.0,4.0,588.0,192.0,12.0,6.0,5.0,2.0,45.0,10.0,4.0,64.0,14.0,51.0,81.0,560.0,750.0,4.0,974.0,585.0,3.0,5.0,3.0,17933.0,41.0,2121.0,849.0,230.0,26241.0,3.0,598.0,1.0,41.0,38.0,14
45.0,60.0,4.0,458.0,141.0,11.0,8.0,1.0,5.0,32.0,13.0,3.0,76.0,12.0,46.0,194.0,652.0,824.0,7.0,1158.0,600.0,2.0,5.0,3.0,13913.0,45.0,2135.0,864.0,181.0,21770.0,8.0,423.0,1.0,65.0,26.0,3
53.0,63.0,4.0,506.0,170.0,15.0,13.0,5.0,0.0,46.0,7.0,5.0,100.0,8.0,57.0,158.0,377.0,698.0,1.0,1079.0,670.0,3.0,6.0,5.0,14367.0,30.0,1896.0,778.0,202.0,21491.0,3.0,455.0,1.0,77.0,15.0,7
40.0,58.0,1.0,431.0,149.0,11.0,7.0,2.0,1.0,31.0,9.0,1.0,86.0,5.0,85.0,182.0,499.0,702.0,4.0,1351.0,779.0,5.0,4.0,4.0,14674.0,32.0,2180.0,708.0,194.0,22771.0,12.0,483.0,0.0,71.0,21.0,3
27.0,75.0,3.0,380.0,110.0,7.0,6.0,2.0,0.0,21.0,6.0,1.0,42.0,6.0,76.0,111.0,768.0,731.0,2.0,973.0,499.0,4.0,5.0,3.0,15308.0,12.0,2507.0,796.0,167.0,23234.0,5.0,338.0,1.0,66.0,28.0,4
54.0,55.0,3.0,496.0,161.0,7.0,9.0,4.0,0.0,45.0,9.0,0.0,76.0,8.0,54.0,117.0,644.0,674.0,7.0,1083.0,606.0,1.0,4.0,4.0,21113.0,49.0,2126.0,902.0,226.0,29158.0,6.0,400.0,0.0,45.0,20.0,14
49.0,43.0,2.0,516.0,167.0,16.0,9.0,3.0,2.0,45.0,4.0,2.0,86.0,7.0,60.0,109.0,779.0,819.0,21.0,1275.0,566.0,5.0,5.0,2.0,16810.0,247.0,1826.0,917.0,209.0,25365.0,3.0,477.0,3.0,56.0,16.0,12
48.0,73.0,2.0,372.0,133.0,14.0,6.0,2.0,1.0,39.0,10.0,4.0,97.0,10.0,68.0,154.0,482.0,621.0,2.0,1007.0,560.0,1.0,7.0,5.0,14369.0,51.0,2567.0,732.0,161.0,21928.0,4.0,390.0,1.0,19.0,19.0,3
39.0,71.0,3.0,476.0,149.0,9.0,13.0,3.0,3.0,33.0,6.0,5.0,141.0,6.0,64.0,160.0,624.0,811.0,15.0,1677.0,967.0,4.0,3.0,2.0,11809.0,83.0,2363.0,930.0,186.0,21712.0,4.0,490.0,1.0,56.0,22.0,6
36.0,65.0,4.0,483.0,137.0,7.0,10.0,1.0,0.0,31.0,5.0,2.0,75.0,7.0,59.0,125.0,650.0,892.0,0.0,2051.0,1031.0,3.0,9.0,9.0,12727.0,19.0,2244.0,889.0,183.0,21415.0,5.0,586.0,0.0,40.0,25.0,1
49.0,52.0,1.0,547.0,172.0,10.0,15.0,2.0,2.0,42.0,7.0,2.0,100.0,14.0,43.0,120.0,668.0,799.0,5.0,1513.0,878.0,5.0,1.0,0.0,16345.0,119.0,2059.0,865.0,191.0,24796.0,12.0,559.0,1.0,82.0,37.0,8
39.0,52.0,2.0,451.0,149.0,12.0,7.0,0.0,1.0,34.0,5.0,5.0,63.0,9.0,47.0,117.0,441.0,644.0,6.0,1125.0,594.0,3.0,6.0,4.0,14028.0,67.0,2610.0,616.0,167.0,21506.0,7.0,410.0,2.0,40.0,18.0,4
41.0,62.0,1.0,488.0,154.0,7.0,10.0,0.0,3.0,35.0,6.0,2.0,71.0,7.0,53.0,183.0,555.0,890.0,14.0,1880.0,1023.0,2.0,7.0,6.0,10649.0,81.0,2078.0,853.0,201.0,20876.0,5.0,448.0,1.0,42.0,28.0,2
83.0,77.0,2.0,670.0,229.0,18.0,5.0,7.0,3.0,68.0,15.0,9.0,78.0,14.0,38.0,98.0,569.0,751.0,1.0,872.0,498.0,3.0,4.0,3.0,22107.0,115.0,1937.0,795.0,277.0,29652.0,1.0,546.0,1.0,52.0,31.0,19
40.0,64.0,4.0,473.0,152.0,10.0,9.0,3.0,0.0,37.0,3.0,1.0,82.0,4.0,82.0,159.0,598.0,619.0,4.0,1178.0,495.0,2.0,7.0,5.0,14860.0,30.0,2249.0,999.0,205.0,22585.0,6.0,425.0,2.0,81.0,22.0,4
45.0,72.0,0.0,476.0,151.0,8.0,4.0,8.0,1.0,39.0,6.0,3.0,56.0,9.0,55.0,117.0,552.0,685.0,6.0,1022.0,517.0,2.0,2.0,2.0,14372.0,30.0,2416.0,703.0,210.0,22434.0,6.0,482.0,0.0,39.0,11.0,4
66.0,43.0,3.0,701.0,230.0,12.0,5.0,4.0,1.0,52.0,14.0,5.0,93.0,14.0,41.0,122.0,716.0,733.0,12.0,1045.0,561.0,1.0,1.0,1.0,19564.0,164.0,2323.0,846.0,279.0,27761.0,6.0,539.0,0.0,28.0,12.0,16
29.0,78.0,4.0,387.0,119.0,4.0,1.0,5.0,0.0,26.0,3.0,0.0,78.0,6.0,69.0,171.0,543.0,630.0,0.0,1170.0,616.0,2.0,4.0,4.0,12359.0,38.0,2592.0,616.0,159.0,19639.0,5.0,388.0,0.0,57.0,24.0,0
60.0,71.0,5.0,546.0,177.0,16.0,4.0,8.0,2.0,51.0,9.0,2.0,103.0,18.0,33.0,130.0,629.0,826.0,4.0,1206.0,680.0,0.0,4.0,3.0,17768.0,170.0,1721.0,762.0,222.0,25892.0,2.0,520.0,1.0,66.0,27.0,13
51.0,55.0,5.0,580.0,181.0,8.0,14.0,3.0,2.0,43.0,8.0,4.0,78.0,9.0,45.0,149.0,470.0,768.0,12.0,1265.0,652.0,2.0,2.0,2.0,14371.0,72.0,2232.0,1019.0,245.0,22628.0,2.0,525.0,0.0,51.0,30.0,11
32.0,63.0,4.0,436.0,119.0,8.0,6.0,2.0,0.0,29.0,3.0,0.0,65.0,8.0,56.0,127.0,537.0,705.0,15.0,1618.0,784.0,3.0,6.0,5.0,13020.0,60.0,2307.0,940.0,204.0,22641.0,6.0,410.0,1.0,118.0,29.0,1
41.0,70.0,2.0,425.0,137.0,14.0,7.0,4.0,2.0,36.0,5.0,0.0,85.0,11.0,56.0,159.0,497.0,666.0,3.0,1009.0,505.0,5.0,3.0,1.0,14558.0,54.0,2507.0,718.0,188.0,22087.0,5.0,415.0,1.0,40.0,23.0,6
